Country,Healthy life expectancy (HALE) at birth (years) both sexes,Gross national income per capita (PPP international $),Population (in thousands) total,Per capita recorded alcohol consumption (litres of pure alcohol) among adults (<=15 years),Per capita government expenditure on health (PPP int. $),Prevalence of current tobacco use among adults (<=15 years) (%) both sexes,Population with sustainable access to improved drinking water sources (%) total,Team Size,Gold,Silver,Bronze,Total medals,Continent
Afghanistan,36,0,26088,0.01,8,0,22,6,0,0,0,0,5
Albania,61,6000,3172,2.01,127,22.4,97,11,0,0,0,0,1
Algeria,61,5940,33351,0.15,146,15.2,85,39,1,0,0,1,2
Andorra,72,0,74,0,2054,32.9,100,6,0,0,0,0,1
Angola,33,3890,16557,3.86,61,0,51,35,0,0,0,0,2
Antigua and Barbuda,62,15130,84,5.73,439,0,91,5,0,0,0,0,2
Argentina,65,11670,39134,8.4,758,30,96,142,1,1,2,4,6
Armenia,61,4950,3010,1.48,112,29.6,98,25,0,1,2,3,5
Australia,73,33940,20530,9.02,2097,24.8,100,413,7,16,12,35,2
Austria,71,36040,8327,11.08,2729,43.3,100,70,0,0,0,0,1
Azerbaijan,57,5430,8406,4.54,67,0,78,53,2,2,6,10,5
Bahamas,64,0,327,0,775,0,97,26,1,0,0,1,6
Bahrain,64,34310,739,6.98,669,14.6,0,12,1,0,0,1,5
Bangladesh,54,1230,155991,0,26,25.6,80,5,0,0,0,0,5
Barbados,66,15150,293,0,722,10.8,100,6,0,0,0,0,6
Belarus,61,9700,9742,5.53,428,42.6,100,172,2,5,5,12,1
Belgium,71,33860,10430,10.63,2264,27.1,0,118,0,1,2,3,1
Belize,60,7080,282,6.25,254,0,91,3,0,0,0,0,6
Benin,44,1250,8760,1.29,25,0,65,5,0,0,0,0,2
Bhutan,53,4000,649,0.23,73,0,81,2,0,0,0,0,5
Bolivia,54,3810,9354,3.23,128,31.7,86,5,0,0,0,0,6
Bosnia and Herzegovina,64,6780,3926,9.05,454,42.3,99,6,0,0,0,0,1
Botswana,36,11730,1858,4.29,487,0,96,4,0,1,0,1,2
Brazil,60,8700,189323,5.76,367,0,91,266,3,5,9,17,6
Brunei Darussalam,65,49900,382,0.12,314,0,0,3,0,0,0,0,5
Bulgaria,65,10270,7693,5.86,443,37.7,99,63,0,1,1,2,1
Burkina Faso,36,1130,14359,5.01,50,16.6,72,5,0,0,0,0,2
Burundi,35,320,8173,9.1,4,0,71,6,0,0,0,0,2
Cambodia,48,1550,14197,1.48,43,23.6,65,6,0,0,0,0,5
Cameroon,41,2060,18175,3.77,23,7.4,70,37,0,0,0,0,2
Canada,72,36280,32577,7.8,2585,21.6,100,279,1,5,12,18,4
Cape Verde,61,2590,519,4.78,227,0,80,3,0,0,0,0,2
Central African Republic,37,690,4265,1.53,20,0,66,6,0,0,0,0,2
Chad,41,1170,10468,0.31,14,9.4,48,3,0,0,0,0,2
Chile,67,11300,16465,6.6,367,37.9,95,35,0,0,0,0,6
China,64,4660,1328474,5.2,144,31.8,88,371,38,27,23,88,5
Colombia,62,6130,45558,5.68,534,0,93,109,1,3,4,8,6
Comoros,55,1140,818,0.31,19,20.7,85,3,0,0,0,0,2
Congo (Dem. Rep.),37,270,60644,1.86,7,8.1,46,4,0,0,0,0,2
Congo (Rep.),46,2420,3689,2.6,13,6.6,71,7,0,0,0,0,2
Cook Islands,62,0,14,3.73,518,28.1,95,8,0,0,0,0,3
Costa Rica,67,9220,4399,5.65,565,16.8,98,11,0,0,0,0,6
Cote d'Ivoire,39,1580,18914,1.77,15,9,81,10,0,0,0,0,2
Croatia,67,13850,4556,12.25,869,34,99,110,3,1,2,6,1
Cuba,68,0,11267,2.26,329,35.9,91,110,5,3,6,14,6
Cyprus,68,25060,846,11.52,759,0,100,13,0,1,0,1,1
Czech Republic,68,20920,10189,12.99,1309,31,100,133,4,3,3,10,1
Denmark,70,36190,5430,11.71,2812,33.4,100,115,2,4,3,9,1
Djibouti,43,2180,819,1.79,75,0,92,6,0,0,0,0,2
Dominica,64,7870,68,7.5,311,0,97,2,0,0,0,0,6
Dominican Republic,60,5550,9615,6.66,140,15.4,95,35,1,1,0,2,6
Ecuador,62,6810,13202,2.36,130,14.9,95,36,0,0,0,0,6
Egypt,59,4940,74166,0.21,129,15.1,98,116,0,2,0,2,2
El Salvador,60,5610,6762,3.72,227,0,84,10,0,0,0,0,6
Equatorial Guinea,46,16620,496,3.38,219,0,43,2,0,0,0,0,2
Eritrea,50,680,4692,0.59,10,9.1,60,12,0,0,0,0,2
Estonia,64,18090,1340,9,734,38.8,100,33,0,1,1,2,1
Ethiopia,41,630,81021,0.86,13,4.3,42,35,3,1,3,7,2
Fiji,59,4450,833,1.72,199,14.4,47,9,0,0,0,0,3
Finland,71,33170,5261,9.31,1940,28.1,100,56,0,1,2,3,1
France,72,32240,61330,11.43,2833,31.7,100,335,11,11,12,34,1
Gabon,51,11180,1311,8.01,198,0,87,28,0,1,0,1,2
Gambia,50,1110,1663,2.59,33,16.2,86,2,0,0,0,0,2
Georgia,64,3880,4433,1.47,76,31.9,99,35,1,3,3,7,1
Germany,72,32680,82641,11.99,2548,31.6,100,395,11,19,14,44,1
Ghana,50,1240,23008,1.57,36,5.5,80,9,0,0,0,0,2
Greece,71,30870,11123,9.01,1317,51.8,100,105,0,0,2,2,1
Grenada,59,8770,106,6.67,387,0,94,10,1,0,0,1,6
Guatemala,57,5120,13029,1.46,98,14.4,96,19,0,1,0,1,6
Guinea,45,1130,9181,0.2,14,0,70,3,0,0,0,0,2
Guinea-Bissau,41,460,1646,2.19,10,0,57,4,0,0,0,0,2
Guyana,55,3410,739,3.84,223,0,93,6,0,0,0,0,6
Haiti,44,1070,9446,8.3,65,0,58,5,0,0,0,0,6
Honduras,58,3420,6969,2.92,116,0,84,31,0,0,0,0,6
Hong Kong (China),0,0,0,0,0,0,0,42,0,0,1,1,5
Hungary,65,16970,10058,13.6,978,39.8,100,158,8,4,5,17,1
Iceland,73,33740,298,6.99,2758,26.3,100,28,0,0,0,0,1
India,53,2460,1151751,0.29,21,18.6,89,83,0,2,4,6,5
Indonesia,58,3310,228864,0.09,44,35.4,80,22,0,1,1,2,5
Iran (Islamic Republic of),58,9800,70270,0,406,17.6,94,53,4,5,3,12,5
Iraq,50,0,28506,0.21,90,14.2,77,8,0,0,0,0,5
Ireland,70,34730,4221,13.69,2413,26.3,0,66,1,1,3,5,1
Israel,71,23840,6810,2.47,1477,24.6,100,38,0,0,0,0,5
Italy,73,28970,58779,8.02,2022,26.1,0,281,8,9,11,28,1
Jamaica,65,7050,2699,1.74,127,15,93,50,4,4,4,12,6
Japan,75,32840,127953,7.59,2067,29.4,100,303,7,14,17,38,5
Jordan,61,4820,5729,0.31,257,36.5,98,9,0,0,0,0,5
Kazakhstan,56,8700,15314,2.96,214,26.6,96,115,7,1,5,13,5
Kenya,44,1470,36553,1.51,51,14.7,57,50,2,4,5,11,2
Kiribati,54,6230,94,0.45,268,0,65,3,0,0,0,0,3
Korea (Dem. Rep.),59,0,23708,3.26,42,0,100,255,13,8,7,28,5
Korea (Rep.),68,22990,48050,7.87,819,29.7,92,55,4,0,2,6,5
Kuwait,67,48310,2779,0.03,422,0,0,10,0,0,1,1,5
Kyrgyzstan,55,1790,5259,3.63,55,24.7,89,14,0,0,0,0,5
Lao People's Democratic Republic,47,1740,5759,6.91,18,40.5,60,3,0,0,0,0,5
Latvia,63,14840,2289,9.61,615,39.4,99,46,1,0,1,2,1
Lebanon,60,9600,4055,3.24,285,18.1,100,10,0,0,0,0,5
Lesotho,31,1810,1995,1.82,88,0,78,4,0,0,0,0,2
Liberia,35,260,3579,3.82,25,0,64,4,0,0,0,0,2
Libyan Arab Jamahiriya,64,11630,6039,0.01,189,0,71,5,0,0,0,0,2
Lithuania,63,14550,3408,9.89,728,33,0,62,2,1,2,5,1
Luxembourg,72,60870,461,15.56,5233,34.7,100,9,0,0,0,0,1
Macedonia,63,7850,2036,5.69,446,0,100,4,0,0,0,0,1
Madagascar,49,870,19159,1.59,21,0,47,7,0,0,0,0,2
Malawi,35,690,13571,1.41,51,15,76,3,0,0,0,0,2
Malaysia,63,12160,26114,1.06,226,28.8,99,30,0,1,1,2,5
Maldives,58,4740,300,0,742,28.2,83,5,0,0,0,0,5
Mali,38,1000,11968,0.5,34,11.2,60,6,0,0,0,0,2
Malta,71,20990,405,6.02,1419,28.7,100,5,0,0,0,0,1
Marshall Islands,55,8040,58,0,589,0,88,4,0,0,0,0,3
Mauritania,45,1970,3044,0.01,31,13.1,60,2,0,0,0,0,2
Mauritius,62,10640,1252,3.03,292,18.5,100,11,0,0,0,0,2
Mexico,65,11990,105342,4.57,327,24.7,95,106,1,3,3,7,6
Micronesia (Federated States of),58,6070,111,1.23,444,0,94,6,0,0,0,0,3
Moldova,60,2660,3833,13.18,107,26,90,22,0,0,2,2,1
Monaco,73,0,33,0,5309,0,0,6,0,0,0,0,1
Mongolia,56,2810,2605,2.83,124,26.3,72,29,0,2,3,5,5
Montenegro,0,8930,601,0,93,0,98,34,0,1,0,1,1
Morocco,60,3860,30853,0.45,98,15,83,72,0,0,1,1,2
Mozambique,37,660,20971,0.52,39,12.8,42,6,0,0,0,0,2
Myanmar,52,510,48379,0.33,7,30.2,80,6,0,0,0,0,5
Namibia,43,4770,2047,5.97,218,24.9,93,9,0,0,0,0,2
Nauru,55,0,10,0.87,444,49.2,0,2,0,0,0,0,3
Nepal,52,1010,27641,0.19,24,30.6,89,5,0,0,0,0,5
Netherlands,71,37940,16379,9.68,2768,34.3,100,182,6,6,8,20,1
New Zealand,71,25750,4140,9.68,1905,28.6,97,196,6,2,5,13,3
Nicaragua,61,2720,5532,2.48,137,0,79,6,0,0,0,0,6
Niger,36,630,13737,0.05,14,0,42,6,0,0,0,0,2
Nigeria,42,1410,144720,10.57,15,7.1,47,53,0,0,0,0,2
Norway,72,50070,4669,5.5,3780,32,100,65,2,1,1,4,1
Oman,64,19740,2546,0.26,321,13.1,82,4,0,0,0,0,5
Pakistan,53,2410,160943,0.01,8,21.1,90,23,0,0,0,0,5
Palau,60,14340,20,0,1003,24,89,5,0,0,0,0,3
Panama,66,8690,3288,5.98,495,0,92,8,0,0,0,0,6
Papua New Guinea,52,1630,6202,1.62,111,0,40,8,0,0,0,0,3
Paraguay,62,4040,6016,3.73,131,24,77,8,0,0,0,0,6
Peru,61,6490,27589,3.83,171,0,84,16,0,0,0,0,6
Philippines,59,3430,86264,3.51,88,26,93,11,0,0,0,0,5
Poland,66,14250,38140,8.09,636,35.6,0,217,2,2,6,10,1
Portugal,69,19960,10579,11.54,1494,35.8,99,80,1,0,0,1,1
Puerto Rico,0,0,0,0,0,0,0,25,0,1,1,2,6
Qatar,65,0,821,4.4,1115,0,100,12,0,0,2,2,5
Romania,63,10150,21532,9.74,433,32.6,88,103,2,5,2,9,1
Russia,58,12740,143221,10.32,404,48.5,97,435,24,26,32,82,1
Rwanda,38,730,9464,6.93,134,0,65,7,0,0,0,0,2
Saint Kitts and Nevis,62,12440,50,6.73,403,0,99,7,0,0,0,0,6
Saint Lucia,63,8500,163,11.48,237,20.6,98,4,0,0,0,0,6
Saint Vincent and the Grenadines,61,6220,120,7,289,0,0,3,0,0,0,0,6
Samoa,60,5090,185,1.73,188,41,88,8,0,0,0,0,3
San Marino,73,0,31,0,2765,0,0,4,0,0,0,0,1
Sao Tome and Principe,54,1490,155,6.95,120,16.9,86,2,0,0,0,0,2
Saudi Arabia,61,22300,24175,0,468,14.7,89,19,0,0,1,1,5
Senegal,48,1560,12072,0.46,23,10.7,77,35,0,0,0,0,2
Serbia,0,9320,9851,0,373,42.3,99,116,1,1,2,4,1
Seychelles,61,14360,86,3.36,602,21.2,87,6,0,0,0,0,2
Sierra Leone,29,610,5743,6.39,20,0,53,2,0,0,0,0,2
Singapore,70,43300,4382,2.17,413,0,0,23,0,0,2,2,5
Slovakia,66,17060,5388,10.35,913,30.9,100,46,0,1,3,4,1
Slovenia,69,23970,2001,6.74,1507,26.5,0,68,1,1,2,4,1
Solomon Islands,56,1850,484,0.97,99,0,70,4,0,0,0,0,3
Somalia,37,0,8445,0,8,0,29,2,0,0,0,0,2
South Africa,44,8900,48282,6.72,364,18.4,93,133,3,2,1,6,2
Spain,73,28200,43887,11.68,1732,33.7,100,289,3,10,4,17,1
Sri Lanka,62,3730,19207,0.28,105,16.5,82,7,0,0,0,0,5
Sudan,49,1780,37707,0.3,23,0,70,6,0,0,0,0,2
Suriname,59,7720,455,0,151,0,92,5,0,0,0,0,6
Swaziland,34,4700,1134,4.6,219,8.9,60,3,0,0,0,0,2
Sweden,73,34310,9078,5.96,2533,22,100,140,1,4,3,8,1
Switzerland,73,40840,7455,10.83,2598,26.5,100,106,2,2,0,4,1
Syria,62,4110,19408,0.49,52,0,89,10,0,0,0,0,5
Taiwan,0,0,0,0,0,0,0,44,0,1,1,2,5
Tajikistan,55,1560,6640,0.39,16,0,67,16,0,0,1,1,5
Tanzania,40,980,39459,5.45,27,14.6,55,7,0,0,0,0,2
Thailand,60,7440,63444,5.59,223,21.7,98,37,0,2,1,3,5
Togo,45,770,6410,1.24,20,0,59,6,0,0,0,0,2
Tonga,62,5470,100,0.75,218,39,100,3,0,0,0,0,3
Trinidad and Tobago,62,16800,1328,4.17,438,22.1,94,31,1,0,3,4,6
Tunisia,62,6490,10215,1.23,214,26.6,94,84,1,1,1,3,2
Turkey,62,8410,73922,1.37,461,35.5,97,114,2,2,1,5,5
Turkmenistan,54,3990,4899,1.18,172,0,0,10,0,0,0,0,5
Tuvalu,53,0,10,1.37,189,0,93,3,0,0,0,0,3
Uganda,43,880,29899,0,39,12.1,64,16,1,0,0,1,2
Ukraine,59,6110,46557,6.09,298,0,97,236,6,5,9,20,1
United Arab Emirates,64,31190,4248,0.02,491,14.4,100,30,0,0,0,0,2
United Kingdom,71,33650,60512,11.75,2434,35.7,100,556,29,17,19,65,1
United States of America,69,44070,302841,8.61,3074,23.9,99,531,46,29,29,104,4
Uruguay,66,9940,3331,7.74,430,32.6,100,33,0,0,0,0,6
Uzbekistan,59,2190,26981,1.51,89,12.8,88,54,1,0,3,4,5
Vanuatu,59,3480,221,0.75,90,28.8,59,5,0,0,0,0,3
Venezuela,64,10970,27191,6.67,196,29.8,89,69,1,0,0,1,6
Vietnam,61,2310,86206,0.85,86,24.3,92,18,0,0,0,0,5
Yemen,49,2090,21732,0.04,38,0,66,4,0,0,0,0,5
Zambia,35,1140,11696,2.4,29,13.4,58,7,0,0,0,0,2
Zimbabwe,34,0,13228,4.41,77,15,81,7,0,0,0,0,2
